"area_name","category_name","group_series_name"
Hong Kong,Chinese Dramas,My True Friend
Hong Kong,Chinese Dramas,Palace
Hong Kong,Chinese Dramas,Police Tactical Unit (Cantonese)
Hong Kong,Chinese Dramas,Swordsman
Hong Kong,Japanese Dramas,Cecile’s Plot
Hong Kong,Japanese Dramas,Comes Morning
Hong Kong,Japanese Dramas,Confidence Man JP
Hong Kong,Japanese Dramas,Confidence Man JP SP
Hong Kong,Japanese Dramas,Daughter of Lupin
Hong Kong,Japanese Dramas,Everyone's Getting Married
Hong Kong,Japanese Dramas,Good Doctor (JP)
Hong Kong,Japanese Dramas,It's All About The Looks
Hong Kong,Japanese Dramas,Legal V
Hong Kong,Japanese Dramas,Love Song
Hong Kong,Japanese Dramas,MPD:Animal Unit
Hong Kong,Japanese Dramas,Natsuko Kira
Hong Kong,Japanese Dramas,Princess Jellyfish
Hong Kong,Japanese Dramas,Queen
Hong Kong,Japanese Dramas,The Public Enemy
Hong Kong,K1 Headlines,K1 Entertainment News
Hong Kong,K1 Headlines,K1 Exclusive (PH)
Hong Kong,K1 Headlines,K1_Features (Overseas)
Hong Kong,Korean Dramas,"100 Days My Prince"
Hong Kong,Korean Dramas,About Time
Hong Kong,Korean Dramas,Angel's Last Mission-Love
Hong Kong,Korean Dramas,Another Miss Oh
Hong Kong,Korean Dramas,At Eighteen
Hong Kong,Korean Dramas,Bad Papa
Hong Kong,Korean Dramas,Baek Hee Has Returned
Hong Kong,Korean Dramas,Be Melodramatic
Hong Kong,Korean Dramas,Beautiful World
Hong Kong,Korean Dramas,Because This Is My First Life
Hong Kong,Korean Dramas,Black Knight - The Man Who Guards Me
Hong Kong,Korean Dramas,"Bring it on, Ghost"
Hong Kong,Korean Dramas,Cheese in the Trap
Hong Kong,Korean Dramas,Chief Kim
Hong Kong,Korean Dramas,Children of 20th Century
Hong Kong,Korean Dramas,Children of Nobody
Hong Kong,Korean Dramas,Clean with Passion for Now (Overseas+HKEN)
Hong Kong,Korean Dramas,Come Back Alive
Hong Kong,Korean Dramas,Come and Hug Me
Hong Kong,Korean Dramas,Descendant of Sun
Hong Kong,Korean Dramas,Doctor John
Hong Kong,Korean Dramas,Doctor Prisoner
Hong Kong,Korean Dramas,Doctors
Hong Kong,Korean Dramas,Doubtful Victory
Hong Kong,Korean Dramas,Drinking Solo
Hong Kong,Korean Dramas,Encounter (HK)
Hong Kong,Korean Dramas,Falsify
Hong Kong,Korean Dramas,"Father, I'll Take Care of You"
Hong Kong,Korean Dramas,Feel Good to Die
Hong Kong,Korean Dramas,Forever Enemies
Hong Kong,Korean Dramas,Fox Bride Star
Hong Kong,Korean Dramas,Goblin
Hong Kong,Korean Dramas,Goblin Special
Hong Kong,Korean Dramas,Golden Pouch
Hong Kong,Korean Dramas,Goodbye Mr. Black
Hong Kong,Korean Dramas,Gunman in Joseon
Hong Kong,Korean Dramas,Haechi
Hong Kong,Korean Dramas,He is Psychometric
Hong Kong,Korean Dramas,Hide and Seek (MBC)
Hong Kong,Korean Dramas,Hold Me Tight
Hong Kong,Korean Dramas,Hospital Ship
Hong Kong,Korean Dramas,Hospital Ship Special
Hong Kong,Korean Dramas,Hotel Del Luna
Hong Kong,Korean Dramas,Hotel Del Luna (HK-sponsored version)
Hong Kong,Korean Dramas,I Am Not a Robot
Hong Kong,Korean Dramas,Innocent Defendant
Hong Kong,Korean Dramas,Item
Hong Kong,Korean Dramas,Item Special
Hong Kong,Korean Dramas,Justice
Hong Kong,Korean Dramas,Legal High
Hong Kong,Korean Dramas,Less than Evil
Hong Kong,Korean Dramas,Let Me Introduce Her
Hong Kong,Korean Dramas,Let's Eat! 3
Hong Kong,Korean Dramas,Listen to Love
Hong Kong,Korean Dramas,Love in the Moonlight
Hong Kong,Korean Dramas,Love in the Moonlight Special
Hong Kong,Korean Dramas,Lucky Romance
Hong Kong,Korean Dramas,Mad Dog
Hong Kong,Korean Dramas,Madame Antoine
Hong Kong,Korean Dramas,Mama Fairy and the Woodcutter
Hong Kong,Korean Dramas,Man Who Dies to Live
Hong Kong,Korean Dramas,Man to Man
Hong Kong,Korean Dramas,Manhole
Hong Kong,Korean Dramas,Marriage Contract
Hong Kong,Korean Dramas,Missing9
Hong Kong,Korean Dramas,Missing9 Special
Hong Kong,Korean Dramas,Misty
Hong Kong,Korean Dramas,Money Flower
Hong Kong,Korean Dramas,Monster
Hong Kong,Korean Dramas,Moorim School
Hong Kong,Korean Dramas,Ms. Hammurabi
Hong Kong,Korean Dramas,My Absolute Boyfriend
Hong Kong,Korean Dramas,"My Husband, Mr. Oh!"
Hong Kong,Korean Dramas,My ID is Gangnam Beauty
Hong Kong,Korean Dramas,"My Lawyer, Mr. Joe"
Hong Kong,Korean Dramas,My Sassy Girl
Hong Kong,Korean Dramas,My Shy Boss
Hong Kong,Korean Dramas,My Shy Boss: The Beginning
Hong Kong,Korean Dramas,Naked Fireman
Hong Kong,Korean Dramas,On the Way to the Airport
Hong Kong,Korean Dramas,Parting Left
Hong Kong,Korean Dramas,Partners for Justice
Hong Kong,Korean Dramas,Partners for Justice 2
Hong Kong,Korean Dramas,Ping Pong Ball
Hong Kong,Korean Dramas,Plus Nine Boys
Hong Kong,Korean Dramas,Queen for Seven Days
Hong Kong,Korean Dramas,Queen of Mystery
Hong Kong,Korean Dramas,Queen of Mystery 2
Hong Kong,Korean Dramas,Radiant Office
Hong Kong,Korean Dramas,Reply 1988
Hong Kong,Korean Dramas,Reply 1997
Hong Kong,Korean Dramas,Reset
Hong Kong,Korean Dramas,Rude Miss Young Ae Season 15
Hong Kong,Korean Dramas,School 2017
Hong Kong,Korean Dramas,Secret Healer
Hong Kong,Korean Dramas,Secret and Lies
Hong Kong,Korean Dramas,Shall We Kiss First?
Hong Kong,Korean Dramas,She Was Pretty
Hong Kong,Korean Dramas,Shopaholic Louis
Hong Kong,Korean Dramas,Sisters-in-law
Hong Kong,Korean Dramas,Sketch
Hong Kong,Korean Dramas,Sky Castle
Hong Kong,Korean Dramas,Sky Castle Special
Hong Kong,Korean Dramas,Strong Woman Do Bong Soon
Hong Kong,Korean Dramas,Suits (Korea)
Hong Kong,Korean Dramas,Temperature of Love
Hong Kong,Korean Dramas,Tempted
Hong Kong,Korean Dramas,Terius Behind Me
Hong Kong,Korean Dramas,The Beauty Inside
Hong Kong,Korean Dramas,The Bride of Habaek
Hong Kong,Korean Dramas,The Crowned Clown
Hong Kong,Korean Dramas,The Crowned Clown Special
Hong Kong,Korean Dramas,The Emperor: Owner of the Mask
Hong Kong,Korean Dramas,The Flower in Prison
Hong Kong,Korean Dramas,The Ghost Detective
Hong Kong,Korean Dramas,The Good Thieves
Hong Kong,Korean Dramas,The Guardian
Hong Kong,Korean Dramas,The Liar & His Lover
Hong Kong,Korean Dramas,The Light in Your Eyes
Hong Kong,Korean Dramas,The Light in Your Eyes (HK)
Hong Kong,Korean Dramas,The Rebel
