"area_name","group_series_name","sum"
Hong Kong,"100 Days My Prince",86358
Hong Kong,"100 Days My Prince SP",1721
Hong Kong,"12 Years Promise",6277
Hong Kong,"20-30 Dictionary",26258
Hong Kong,"2018 MBC Idol Star Athletics Championships",1770
Hong Kong,"24小時拯救餐廳大作戰",2004
Hong Kong,"40's Spring (2017)",24
Hong Kong,A Certain Scientific Accelerator,18455
Hong Kong,A Place Further Than The Universe,2827
Hong Kong,A Poem A Day,7169
Hong Kong,A-TEEN,36182
Hong Kong,AKB Love Night Love Factory,1128
Hong Kong,ARGON,1921
Hong Kong,About Time,39718
Hong Kong,Abyss,432553
Hong Kong,Academy of Detectives,15163
Hong Kong,Ace of Diamond actII,42886
Hong Kong,Ada’s Luxe Viu in Seoul,321
Hong Kong,Alderamin on the Sky,3121
Hong Kong,All For One,11738
Hong Kong,Ancient Magus Bride,22752
Hong Kong,Ancient Magus Bride OVA,2253
Hong Kong,Andante,2626
Hong Kong,Angel's Last Mission-Love,780989
Hong Kong,Ani-world,6695
Hong Kong,Another Miss Oh,17453
Hong Kong,Any lie can become Truth,7
Hong Kong,Asia Entertainment,4380
Hong Kong,At Eighteen,130890
Hong Kong,BFF Insider (Clean),99
Hong Kong,BOF Trailer,2
Hong Kong,BORDER Redemption (Cantonese),844
Hong Kong,BORDER The Urge (Cantonese),1586
Hong Kong,BORDER The Urge ~Medical Examiner Mika HIGA,1104
Hong Kong,Bad Papa,29104
Hong Kong,Baek Hee Has Returned,521
Hong Kong,Bakuon!!,585
Hong Kong,Be Melodramatic,10715
Hong Kong,Be Shine or Be Mad,3
Hong Kong,Beating Again,9289
Hong Kong,Beautiful World,84955
Hong Kong,Because This Is My First Life,43899
Hong Kong,Because this is my first life (Cantonese),24799
Hong Kong,Berserk SR2,1258
Hong Kong,Beyond Show,3224
Hong Kong,Black Clover,379939
Hong Kong,Black Knight - The Man Who Guards Me,34950
Hong Kong,Black Knight - The Man Who Guards Me (Cantonese),10779
Hong Kong,Black Leather Book,4571
Hong Kong,Black Leather Notebook (Cantonese),7120
Hong Kong,Blade of Demon Destruction,218540
Hong Kong,Border Redemption,1007
Hong Kong,Boy Hood,15485
Hong Kong,Brave “YOSHIHIKO” and the seven driven people,2150
Hong Kong,"Bring it on, Ghost",27976
Hong Kong,Bungo Stray Dogs 2,8961
Hong Kong,Bungo Stray Dogs 2 OVA,670
Hong Kong,CRISIS,8740
Hong Kong,Can we get married,4663
Hong Kong,Cecile’s Plot,1273
Hong Kong,Cheese in the Trap,684
Hong Kong,Cheese in the Trap (Cantonese),13
Hong Kong,Chef Celebrities Season 4,914
Hong Kong,Chess Tamashi,101923
Hong Kong,Chief Kim,12745
Hong Kong,Children of 20th Century,9275
Hong Kong,Children of Nobody,113786
Hong Kong,Chronos Ruler,3830
Hong Kong,Circle,3355
Hong Kong,Clean with Passion for Now (HK),662201
Hong Kong,Clean with Passion for Now (Overseas+HKEN),11227
